latitude;longitude;name;postCode;city
45.19377535635194;5.647746166478551;2180 Route de Charvet;38433;Saint-Nizier-du-Moucherotte
45.14941940174631;5.798092299826225;2430 Route de la Côte;38188;Herbeys
45.27948594573337;5.753808998161162;75 Chemin des Croix;38472;Sarcenas
45.26200002484068;5.780974297382135;38 Impasse de Jaillères;38471;Le Sappey-en-Chartreuse
45.164746779892475;5.710453581616045;2 Rue Albert Reynier;38185;Grenoble
45.16413313294564;5.886151419495404;418 Chemin de Pont Rajat;38334;Revel
45.13925775970044;5.859423711163351;4100 Route de Chamrousse;38422;Saint-Martin-d'Uriage
45.17832069855211;5.6341646505332745;442 Route de Rochetière;38433;Saint-Nizier-du-Moucherotte
45.205617699962055;5.747466818347934;23 Rue du Pont Prouiller;38516;La Tronche
45.11370847000673;5.803398643964199;171 Chemin de Venivos;38528;Vaulnaveys-le-Bas
45.25878156542482;5.829904813287048;9 Chemin de Labis de Dessus;38397;Saint-Ismier
45.17785692282918;5.64013280293612;35 Chemin des Clapieres;38433;Saint-Nizier-du-Moucherotte
45.1922352;5.7035441;96 Rue du Vercors;38185;Grenoble
45.23957840237213;5.62935371992715;108 Chemin du Diday;38281;Noyarey
45.105946808552254;5.749170581947172;548g Chemin de Maupertuis;38200;Jarrie
45.14670886659158;5.757848925140177;2 Rue du 4 Août 1789;38158;Eybens
45.18809642258016;5.616689089966129;789 Route du Fournel;38153;Engins
45.17831999193387;5.768029908160792;7 Rue Niki De Saint Phalle;38421;Saint-Martin-d'Hères
45.18235133137843;5.830002860267547;670 Chemin de Combeloup;38271;Murianette
45.162235250740665;5.703544134790118;50 Rue Jean Vaujany;38185;Grenoble
45.12262715704306;5.810115831804743;677 Chemin des Bargeonniers;38529;Vaulnaveys-le-Haut
45.167034523324865;5.6373266243162465;1 ZA de l'Espace Tremplin;38433;Saint-Nizier-du-Moucherotte
45.20374164152518;5.713958435907512;40 Rue du 16 Août 1944;38423;Saint-Martin-le-Vinoux
45.160376279628984;5.748881934140946;Rue de Belledonne;38158;Eybens
45.19696987872496;5.722813329015666;Parc Guy Pape;38185;Grenoble
45.184703210942914;5.776574243463315;49 Rue du Champ Roman;38421;Saint-Martin-d'Hères
45.25982566827203;5.733694199829899;1894 Route de la Mearie;38328;Quaix-en-Chartreuse
45.15805462931125;5.617987907245295;Chemin des Volants;38433;Saint-Nizier-du-Moucherotte
45.1746182843717;5.816647491468252;256 Chemin de Combeloup;38533;Venon
45.107746945453016;5.713615898903182;460 Route du Pont des Vannes;38068;Champagnier
45.17595389976395;5.703749124271803;44 Avenue Rhin et Danube;38185;Grenoble
45.19447713578276;5.701107175413626;57bis Quai du Drac;38169;Fontaine
45.12815470363571;5.682163364284379;2 Allee des Thuyas;38111;Claix
45.16181656273428;5.701229382220893;50 Rue Jean Vaujany;38185;Grenoble
45.17021352783192;5.69851285338178;22bis Rue des Allobroges;38486;Seyssins
45.28189135971201;5.633025403029347;Chemin de Beauplan;38565;Voreppe
45.27165487438534;5.651860975048109;3238 Avenue du 11 Novembre;38565;Voreppe
45.24881598070887;5.768760739308376;38 Impasse des Rochettes;38471;Le Sappey-en-Chartreuse
45.10775730974768;5.6441118415836735;33 Chemin de Savoyères;38111;Claix
45.25181613297386;5.632311824070902;2110 Avenue Saint-Jean;38281;Noyarey
45.23481556112702;5.810239033329842;549 rue abel servien rd 1090;38045;Biviers
45.212446484581235;5.854610534089656;120 Rue des 7 Laux;38538;Le Versoud
45.18824898570887;5.820302205172271;110 Chemin de l'Église;38271;Murianette
45.139685485220895;5.840667002168981;1415 Route du Bouloud;38422;Saint-Martin-d'Uriage
45.1987969279791;5.772624295401635;1461 Rue de la Piscine;38179;Gières
45.21616880853141;5.892342052089918;175 Impasse de Bossu;38120;La Combe-de-Lancey
45.25085883191659;5.825648421521734;135 Allée des Centaurées;38397;Saint-Ismier
45.2962392772812;5.633124545991487;300 Rue du Port;38565;Voreppe
45.25512170932237;5.631247752123755;65 Route des Béalières;38281;Noyarey
45.14552009352639;5.807434336958424;997 Chemin des Terres;38188;Herbeys
45.1733972816585;5.66430559374743;8 Chemin du Sabot;38485;Seyssinet-Pariset
45.24673697686427;5.638744132562314;598 Chemin des Communaux;38281;Noyarey
45.150939247308834;5.795888493218377;148 Chemin de la Vie;38188;Herbeys
45.216216276262635;5.790989321263319;2c Chemin de Maupertuis;38229;Meylan
45.11752712933247;5.820744355283085;439 Impasse du Replat;38529;Vaulnaveys-le-Haut
45.121836796359396;5.685989142028347;11 Chemin des Chalets;38111;Claix
45.26162817752923;5.664099693933638;17 Route de Mont Saint Martin;38170;Fontanil-Cornillon
45.25306436630982;5.830438975515807;48 Chemin des Bouts;38397;Saint-Ismier
45.23498110438744;5.792934449630144;475 Chemin de Saint Hugues;38045;Biviers
45.10883637525754;5.654183632592232;15 Chemin de Savoyères;38111;Claix
45.14739250477823;5.8651667768752915;5000 Route de Chamrousse;38422;Saint-Martin-d'Uriage
45.15178904129186;5.843389430971014;83 Impasse de la Scierie;38422;Saint-Martin-d'Uriage
45.277545673900136;5.877876671951243;9 Impasse Jacques Brel;38140;Crolles
45.259184078707186;5.73092744250693;203 Chemin des Grosses Pierres;38328;Quaix-en-Chartreuse
45.11497304410627;5.683224754697236;3 Rue de l'Industrie;38111;Claix
45.175303224271005;5.873898595362849;135 Route de la Fayolle;38422;Saint-Martin-d'Uriage
45.16212591294323;5.621005494476136;203 Impasse des Massues;38433;Saint-Nizier-du-Moucherotte
45.220552676097945;5.897418435561771;30 Chemin des Furgarats;38120;La Combe-de-Lancey
45.23486819914778;5.877315509184141;2 Rue Guynemer;38547;Villard-Bonnot
45.24661468762412;5.643667280889571;977 Route de la Vanne;38281;Noyarey
45.20190986620155;5.669125307223303;1 Allee des Sauges;38474;Sassenage
45.18332571315159;5.746612532103491;36 Chemin de la Blanchisserie;38185;Grenoble
45.20634836928434;5.772168038124853;32 Avenue du Vercors;38229;Meylan
45.25666166225679;5.6530632817582775;461 Rue Mondragon;38170;Fontanil-Cornillon
45.26134420309624;5.85742037574778;96 chemin des Batellières;38039;Bernin
45.23425577299378;5.667868357129018;61 avenue de l'ile brune;38382;Saint-Égrève
45.264402304385364;5.872811956086157;241 Chemin du Clot;38039;Bernin
45.207493869237666;5.694540601754104;71 Avenue des Martyrs;38185;Grenoble
45.255929626934794;5.826159801161739;84 Chemin des Civets;38397;Saint-Ismier
45.17962453179762;5.743764657696992;Rue Condé;38185;Grenoble
45.13175527209447;5.787783728135323;593 Chemin du Gouter;38188;Herbeys
45.2240090582115;5.747293173796354;20 Chemin de Chantemerle;38516;La Tronche
45.24801200852445;5.767134411266751;51 Impasse de l’Ancienne Scierie;38471;Le Sappey-en-Chartreuse
45.149218521556165;5.857299836357913;274 Chemin des Vernes;38422;Saint-Martin-d'Uriage
45.133261755568866;5.679384244816286;7 Chemin des Cimentiers;38111;Claix
45.265072705996346;5.7327535817311635;2432 La Mearie;38328;Quaix-en-Chartreuse
45.18000530223436;5.620132484214301;1535 Route de Pierrelat;38153;Engins
45.26232713439614;5.848444009646196;232 Chemin des Pinardes;38431;Saint-Nazaire-les-Eymes
45.11654179770431;5.683400590917596;11bis Chemin de la Pissarde;38111;Claix
45.19508585229286;5.8248217860287355;32 Route de Grenoble;38150;Domène
45.1122984139118;5.722562029115395;4 Chemin du Champ des Pierres;38068;Champagnier
45.253253818517024;5.693329837354473;1050 Route de la Charmette;38325;Proveysieux
45.19958083081783;5.832208947089862;9ter Rue Angelo Brunato;38150;Domène
45.11609937187057;5.750889282305618;10l Route du Plâtre;38200;Jarrie
45.26438162056331;5.735004050509283;2706 Route de la Mearie;38328;Quaix-en-Chartreuse
45.10215452041285;5.690992693614488;21 Rue du Lavoir;38524;Varces-Allières-et-Risset
45.227645641768724;5.880345195921639;610 Rue Lamartine;38538;Le Versoud
45.20097266489398;5.767010584590495;1bis Boulevard des Alpes;38229;Meylan
45.20680956847032;5.790080606041922;23 Chemin du Vieux Chêne;38229;Meylan
45.12122369576866;5.747398314847809;Chemin Ferré;38200;Jarrie
45.294925190909744;5.864156350149544;460 Chemin de la Croix de Pierre;38395;Plateau-des-Petites-Roches
45.18565781874161;5.77584687327783;10 Rue de Mayencin;38421;Saint-Martin-d'Hères
45.22531248947291;5.684790669063492;6 rue du gymnase;38382;Saint-Égrève
45.179255510854006;5.769618689514946;20 Avenue Jean Jaures;38421;Saint-Martin-d'Hères
45.14506728592971;5.744199688227242;37 Avenue d'Echirolles;38158;Eybens
45.27909754066851;5.719813718747585;1704 Route de Planfay;38325;Proveysieux
45.16137404214986;5.769924787209697;25bis Rue Antoine;38421;Saint-Martin-d'Hères
45.13325163785655;5.602283550472645;328 chemin de Prenay;38205;Lans-en-Vercors
45.2658346321825;5.777843007880151;92 Route des Barrieres;38471;Le Sappey-en-Chartreuse
45.23339114724672;5.673758402420563;32 rue de la gare;38382;Saint-Égrève
45.13279414607559;5.664197097567642;13 Chemin des Acacias;38111;Claix
45.209247300566076;5.69663098326373;164 Avenue des Martyrs;38185;Grenoble
45.19015279903582;5.700195046102909;13 Quai du Drac;38169;Fontaine
45.12846270332976;5.7755232258160305;190b Chemin du Mouton;38059;Brié-et-Angonnes
45.1224004880248;5.789994442687193;696 Chemin les Métraux;38059;Brié-et-Angonnes
45.15682730434525;5.838694918509023;80 Chemin de Pré Boujard;38422;Saint-Martin-d'Uriage
45.12281122756015;5.646936418028695;71 Route du Peuil;38111;Claix
45.22916925796099;5.821233014406196;295 Chemin du Moulin;38249;Montbonnot-Saint-Martin
45.1947260237237;5.6825300851519565;23 Rue des Alpes;38169;Fontaine
45.22592567920004;5.880250156904356;470 Rue Lamartine;38538;Le Versoud
45.13520104250753;5.660689478015571;Route du Peuil;38111;Claix
45.258157532251225;5.841787173333701;348 Chemin de la Limite;38431;Saint-Nazaire-les-Eymes
45.1660577939223;5.755451943847838;16 Rue Victor Hugo;38421;Saint-Martin-d'Hères
45.245227050870376;5.827076761821952;136 Chemin de Ray Buisson;38397;Saint-Ismier
45.10233368657899;5.802612625796384;28 Allée des Revols;38528;Vaulnaveys-le-Bas
45.21642954393277;5.692139978814277;3033 Rue du Petit Lac;38423;Saint-Martin-le-Vinoux
45.24602655163696;5.8942315163040915;18b Avenue Général de Miribel;38547;Villard-Bonnot
45.19171467502463;5.76685437837183;646 Avenue Centrale;38421;Saint-Martin-d'Hères
45.16516112841108;5.835690307961765;137 Route du Faux;38422;Saint-Martin-d'Uriage
45.16267877665174;5.814620851765836;2616 Route de Gières;38422;Saint-Martin-d'Uriage
45.12494347639225;5.873406919568505;84 Rue des Biolles;38567;Chamrousse
45.219385474592364;5.665175400598843;4 Rue Vaucanson;38474;Sassenage
45.16566812519099;5.717393327508803;70 Avenue Léon Blum;38185;Grenoble
45.242723561805654;5.797162601581948;277 Chemin de Montbivet;38045;Biviers
45.22802647950406;5.769518952531069;3 Chemin de Pierrache;38126;Corenc
45.162706547602355;5.668313613043485;514 Route de Saint-nizier;38486;Seyssins
45.27308332197057;5.658205355844243;537 Chemin de Didonnière;38565;Voreppe
45.130623093584255;5.653942763780399;63bis Route du Peuil;38111;Claix
45.24525539956937;5.82704219177214;136 Chemin de Ray Buisson;38397;Saint-Ismier
45.142705268893934;5.848747160233796;1196 Route de Pierval;38422;Saint-Martin-d'Uriage
45.20445579962939;5.688550675279076;37 Rue du Saint Eynard;38169;Fontaine
45.269281791137765;5.861944322475991;297bis CHEMIN De Champ Jaillet;38039;Bernin
45.175015616389715;5.883030568550185;1325 Route du Cornet;38334;Revel
45.1585577841122;5.739823469445744;2 Rue Roland Garros;38158;Eybens
45.22356201892315;5.849677841783095;659 Route de l'Isère;38538;Le Versoud
45.22703530978785;5.88732602951524;1118 Route des Carilleres;38120;La Combe-de-Lancey
